"origin","destination","arr_delay_time","num_of_flights","flight_time","distance","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay"
"ABQ","ATL",1.9491,6825,154.4620,1269.0000,3.6637,0.4614,2.8140,0.0595,1.4828
"ALB","ATL",6.1570,4814,131.9001,852.0000,3.1841,0.4814,5.8912,0.0046,2.0062
"ANC","ATL",11.2853,639,391.3867,3417.0000,4.6072,0.0000,3.5964,0.0721,8.9892
"AUS","ATL",7.4119,8749,108.0327,813.0000,3.5467,0.4203,5.6242,0.0171,2.5741
"BDL","ATL",7.6640,14449,127.5725,859.0000,2.5274,0.4298,7.9771,0.0251,2.5282
"BHM","ATL",6.4901,14595,32.5082,134.0000,2.8583,0.0946,5.1841,0.0027,2.9895
"BNA","ATL",7.4417,12589,40.4049,214.0000,2.4444,0.2894,5.5751,0.0000,3.9265
"BOI","ATL",0.8296,630,214.9379,1838.0000,5.2707,0.4044,2.0711,0.0000,0.0152
"BOS","ATL",9.3615,23086,139.8206,946.0000,3.0977,0.5864,8.1899,0.0144,3.2138
"BTR","ATL",14.9558,2187,68.8690,449.0000,2.7088,0.3709,10.3385,0.0000,3.9902
"BUF","ATL",6.7956,4571,105.6084,712.0000,4.5848,1.1097,7.2053,0.0131,2.9432
"BUR","ATL",1.3278,425,229.2518,1941.0000,2.7294,0.4659,3.4588,0.0753,0.0000
"BWI","ATL",8.6512,21584,89.9549,576.0000,4.0501,0.1471,7.1956,0.0153,2.8249
"BZN","ATL",13.2089,165,197.2468,1641.0000,5.0400,0.2320,6.0480,0.0000,7.9840
"CAE","ATL",7.4021,5594,41.5501,191.0000,3.0650,0.3209,6.3552,0.0247,2.3988
"CAK","ATL",10.5455,219,83.1914,528.0000,11.3008,0.0000,6.9549,0.0000,2.1353
"CHS","ATL",8.4387,14400,49.2198,259.0000,3.0999,0.0986,6.2333,0.0097,4.1283
"CLE","ATL",5.1960,8099,85.8860,554.0000,2.9673,0.1366,6.0798,0.0457,1.4559
"CLT","ATL",7.4053,15123,46.6085,227.0000,2.6134,0.2246,7.2797,0.0000,3.7154
"CMH","ATL",4.9605,8936,72.1983,446.0000,2.2200,0.2515,6.0122,0.0000,1.9921
"COS","ATL",4.6690,3175,141.7181,1185.0000,4.1855,0.6623,3.4995,0.0377,1.7475
"CVG","ATL",8.9392,17256,67.3373,373.0000,2.4448,0.3102,7.9382,0.0231,1.8400
"DAB","ATL",7.8285,9226,62.7383,366.0000,4.3531,0.3504,5.0969,0.0201,3.3230
"DAY","ATL",8.4268,9692,74.6531,432.0000,3.1459,0.2731,6.6341,0.0043,2.9206
"DCA","ATL",7.9544,30870,85.8626,547.0000,2.2676,0.1629,7.1906,0.0103,3.7861
"DEN","ATL",5.7891,20867,145.0114,1199.0000,3.2364,0.3175,4.3177,0.0000,3.5948
"DFW","ATL",9.9458,45992,98.8503,732.0000,2.8905,0.9486,7.6931,0.0087,4.0789
"DTW","ATL",7.6990,12879,92.9495,594.0000,3.1592,0.3785,7.5057,0.0000,2.7347
"EGE","ATL",9.5271,647,154.7915,1312.0000,3.8678,0.6759,5.2772,0.0000,7.5096
"ELP","ATL",2.7440,3564,157.0241,1282.0000,5.3347,0.1383,2.4812,0.0000,1.7447
"EWR","ATL",12.8115,22603,111.8611,745.0000,2.6730,0.2769,8.6894,0.0645,7.1111
"FAY","ATL",2.5349,43,59.7907,331.0000,0.6279,0.0000,4.0930,0.0000,1.8140
"FCA","ATL",8.8913,46,220.9783,1841.0000,5.5313,0.0000,4.6250,0.0000,3.9063
"FLL","ATL",9.1488,23977,87.4201,581.0000,2.5658,0.2450,7.2179,0.0178,4.0235
"GPT","ATL",9.8242,1517,56.8757,352.0000,5.5095,0.3506,7.1868,0.0000,4.3251
"GRR","ATL",18.2320,317,99.4118,640.0000,2.4322,1.4069,16.3438,0.0000,1.5552
"GSO","ATL",7.3704,12469,56.3018,306.0000,2.6010,0.1117,6.5499,0.0236,2.8109
"GSP","ATL",6.6423,7643,35.8229,153.0000,2.8677,0.2232,6.8361,0.0089,2.0411
"GUC","ATL",20.1765,18,148.3529,1301.0000,15.2222,0.0000,3.4444,0.0000,0.7222
"HDN","ATL",20.6563,280,159.1445,1340.0000,6.4502,2.6351,5.7915,0.4455,12.1943
"HNL","ATL",-2.0152,3181,493.0396,4502.0000,1.7828,0.0038,2.3800,0.0000,2.7764
"HOU","ATL",6.8471,6680,97.6292,696.0000,2.1111,0.1111,6.3910,0.0157,3.0966
"HSV","ATL",6.1820,6073,32.8857,151.0000,2.6701,0.3246,6.1304,0.0213,2.5581
"IAD","ATL",8.4475,18102,83.9331,533.0000,2.3742,0.1894,7.1696,0.0116,4.3337
"IAH","ATL",11.0264,10656,94.8806,689.0000,3.4398,0.3586,8.0743,0.0000,4.9814
"ICT","ATL",12.4026,158,101.7922,781.0000,10.9051,1.1962,4.2089,0.0000,0.0000
"IND","ATL",7.4645,12238,70.1473,432.0000,2.2996,0.5131,6.2863,0.0095,3.6484
"JAC","ATL",12.6766,353,188.5905,1572.0000,7.6260,0.6260,4.3902,0.0000,6.0772
"JAN","ATL",7.7270,7559,55.5720,341.0000,3.7210,0.0570,5.4118,0.0028,3.6491
